,@SaleSharksRugby
Will Addison,@WillAddisonB3
Charlie Amesbury,@charlieamesbury
Will Bordill,@WillBordill7
Tom Brady,@tbrady14
Danny Cipriani,@DannyCipriani87
Will Cliff,@Will_Cliff88
Aston Croall,@astoncroall
Mark Cueto,@Mark_Cueto
Jordan Davies,@jadavies32
Alasdair Dickinson,@Ali_Dickinson
Hendre Fourie,@shrekkie07
James Gaskell,@james_gaskell
Ross Harrison,@RossHarrisonFR
Tom Holmes,@TomHolmes1990
Charlie Ingall,@CharlieIngall
Marc Jones,@Marc_jones2
Johnny Leota,@TeamLeota
Eifion Lewis-Roberts,@Fridge_1
Rob Miller,@robmiller89
Kearnan Myall,@kearnanmyall
Dwayne Peel,
Andy Powell,@andypowell8
Cameron Shepherd,@Cam_Shepherd
Tommy Taylor,@Tommy2Taylor
Henry Thomas,@henrythomas105
Corne Uys,@uysteman
Richie Vernon,@richievernon
