twitter name,Player Name,Ex International Team
@GreenwoodRugby,Will Greenwood,England
@LynaghMichael,Michael Lynagh,Australia
@davidflatman,David Flatman,England
@TomShanklin,Tom Shanklin,Wales
@CyrilSneer82,Robin Sowden-Taylor,Wales
@smarconnet,Sylvain Marconnet,France
@wa22y,David Wallace,Ireland
@stranners,Joel Stransky,South Africa
@dallagliocycle,Lawrence Dallaglio,England
@matt9dawson,Matt Dawson,England
@ScottQuinnell,Scott Quinnell,Wales
@JeremyGuscott,Jeremy Guscott,England
@xaviergarbajosa,Xavier Garbajosa,France
@IamAustinHealey,Austin Healey,England
@BenKay5,Ben Kay,England
@yanndelaigue,Yann Delaigue,France
@SBetsen,Serge Betsen,France
@VictorMatfield,Victor Matfield,South Africa
@christophedomi,Christophe Dominici,France
@Jason15Robinson,Jason Robinson,England
@GeorgeGregan,George Gregan,Australia
@ApolloRugby,Apollo Perelini ,Samoa
@rhillrugby,Richard Hill,England
@npgrey,Nathan Grey,Australia
@KyranBracken,Kyran Bracken,England
@DoddieWeir5,Doddie Weir,Scotland
@AP9_,Agustin Pichot,Argentina
@rroncero77,Rodrigo Roncero,Argentina
@RupertMoon,Rupert Moon,Wales
@victorubogu,Victor Ubogu,England
@GarethChilcott,Gareth Chilcott,England
@NeilJenkins10,Neil Jenkins,Wales
@gregortownsend,Gregor Townsend,Scotland
@JonSleightholme,Jon Sleightholme,England
@Garin_Jenkins,Garin Jenkins,Wales
@Drieman3,Cobus Visagie,South Africa
@Martin_Corry,Martin Corry,England
@robhendo13,Rob Henderson,IReland
@colincharvis,Colin Charvis,Wales
@DGHumphreys,David Humphreys,Ireland
@paulwally3,Paul Wallace,Ireland
@Davidcampese11,David Campese,Australia
@TimHoran12,Tim Horan,Australia
@snorkymortlock,Stirling Mortlock,Australia
@RealBigDell,Wendell Sailor,Australia
@mat_rogers6,Mat Rogers,Australia
@richarddourthe,Richard Dourthe,France
@ZinzanBrooke8,Zinzan Brooke,New Zealand
@JONAHTALILOMU,Jonah Lomu,New Zealand
@burkey710,Matt Burke,Australia
@AndyGomarsall,Andy Gomarsall ,England
@9Joost,Joost van der Westhuizen,South Africa
@BreytonPaulse,Breyton Paulse,South Africa
@PeterClohessy,Peter Clohessy,Ireland
@trevorbrennan1,Trevor Brennan,IReland
@martynewilliams,Martyn Williams,Wales
@Mooro9,Andy Moore,Wales
@andygoosemoore,Andy Moore,Wales
@nickstiles767,Nick Stiles,Australia
@epitaione,Epi Taione,Tonga
@EmileNtamack,Emile Ntamack,France
@GetRhysWilliams,Rhys Williams,Wales
@TheRealWaldrom,Scott Waldrom,New Zealand
@MattCockbain,Matt Cockbain,Australia
@13Juba,Marius Joubert,South Africa
@alafanga,Pita Alatini,New Zealand
@dmbarnes1,David Barnes,England
@darko38,Dan Luger,England
@AlanQuinlan1,Alan Quinlan ,Ireland
@thinusdelport,Thinus Delport,South Africa
@LewisMoody7,Lewis Moody,England
@RugbyBenCohen,Ben Cohen,England
@HanleySteve11,Steve Hanley,England
@Waisale_Serevi,Waisale Servei,Fiji
@craignewby6,Craig Newby,New Zealand
@OliArmagnac,Olivier Azam,France
@KennyLogan,Kenny Logan,Scotland
@Wright33Peter,Peter Wright ,Scotland
@stuabbott,Stuart Abbott,England
@Chick_Chalmers,Craig Chalmers,Scotland
@scott_stevie,Stevie Scott,Scotland
@richardsrugby,Peter Richards,England
@MartinBayfield,Martin Bayfield,England
@TyroneHowe,Tyrone Howe,Ireland
@Tayls13,Mark Taylor,Wales
@richardparks,Richard Parks,Wales
@HThorneycroft,Harvey Thorneycroft,England
@duncanbell3,Duncan Bell,England
@NathanSharpe5,Nathan Sharpe,Australia
@Tommo33sg,Steve Thompson,England
@LoteTuqiri,Lote Tuqiri,Australia
@SonnyBWilliams,Sonny Bill Williams,New Zealand
@GonzaloQuesada,Gonzalo Quesada,Argentina
@NeilFrancis2,Neil Francis ,Ireland
@Adam_Freier,Adam Freier,Australia
@AlastairBaxter3,Al Baxter,Australia
@PhilGreening,Phil Greening,England
@JasonLeonardtCn,Jason Leonard,England
@joshlewsey,Josh Lewsey,England
@igorjuzon,Igor Juzon,France
@ElissaldeJB,Jean Baptiste Elissalde,France
@YannBru,Yannick Bru,France
@RichBirkett,Richard Birkett,England
@WilliamServat,William Servat,France
@SioneLauaki,Sione Lauaki,New Zealand
@jerryflannery,Jerry Flannery,Ireland
@RocheyK,Kieran Roche,England
@TaniFuga,Tani Fuga,Samoa
@shotaroonishi,Shotaro Onishi,Japan
@dingo0014,Daisuke Ohata,Japan
@Bullsrhino8,Filo Tiatia,New Zealand
@JiffyRugby,Jonathan Davies,Wales
