,@QantasWallabies,,
Adam Ashley Cooper,@AdamCoopy ,NSW Waratahs,@NSWWaratahs
Anthony Fainga'a & Saia Fainga'a,@FaingaaTwins ,Queensland Reds,@Reds_Rugby
Ben Alexander,,ACT Brumbies,@s14_brumbies
Ben Lucas,@BennyLucas87 ,Queensland Reds,@Reds_Rugby
Ben McCalman,,The Western Force,@thewesternforce
Ben Taupuai,@bentapuai,Queensland Reds,@Reds_Rugby
Benn Robinson,@benn_robbo,NSW Waratahs,@NSWWaratahs
Berrick Barnes,,NSW Waratahs,@NSWWaratahs
Dave Dennis,@davedennis671,NSW Waratahs,@NSWWaratahs
Dave Dennis,,NSW Waratahs,@NSWWaratahs
David Pocock,@pocockdavid ,The Western Force,@thewesternforce
Digby Ioane,@digbyioane ,Queensland Reds,@Reds_Rugby
Drew Mitchell,@drew_mitchell,NSW Waratahs,@NSWWaratahs
James Hanson,@ChibbaHanson,Queensland Reds,@Reds_Rugby
James Horwill,@JHorwill ,Queensland Reds,@Reds_Rugby
James O'Connor,@JamesOConnor832 ,Melbourne Rebels,@MelbourneRebels
James Slipper,@JamesSlipper ,Queensland Reds,@Reds_Rugby
Kane Douglas,,NSW Waratahs,@NSWWaratahs
Lachie Turner,@LachieTurner ,NSW Waratahs,@NSWWaratahs
Liam Gill,,Queensland Reds,@Reds_Rugby
Matt Hodgson,@matthodgson678 ,The Western Force,@thewesternforce
Michael Hooper,,NSW Waratahs,@NSWWaratahs
Mike Harris,@mikeymikeharris,Queensland Reds,@Reds_Rugby
Nathan Sharpe,@NathanSharpe5 ,The Western Force,@thewesternforce
Nick Cummins,,The Western Force,@thewesternforce
Nick Phipps,@Fanga9,Melbourne Rebels,@MelbourneRebels
Paddy Ryan,,NSW Waratahs,@NSWWaratahs
Pat McCabe,,ACT Brumbies,@s14_brumbies
Pekahou Cowan,@Pekcowan ,The Western Force,@thewesternforce
Radike Samo,,Queensland Reds,@Reds_Rugby
Rob Horne,,NSW Waratahs,@NSWWaratahs
Rob Simmons,,Queensland Reds,@Reds_Rugby
Salesi Ma'afu,,The Western Force,@thewesternforce
Scott Higginbotham,@ScottyHiggers ,Queensland Reds,@Reds_Rugby
Sekope Kepu,@SekopeKepu,NSW Waratahs,@NSWWaratahs
Sitaleki Timani,,NSW Waratahs,@NSWWaratahs
Stephen Moore,@stevemoore83 ,ACT Brumbies,@s14_brumbies
Tatafu Polota-Nau,@tatafu267,NSW Waratahs,@NSWWaratahs
Tatafu Polota-Nau,,NSW Waratahs,@NSWWaratahs
Will Genia,,Queensland Reds,@Reds_Rugby
Wycliff Palu,,NSW Waratahs,@NSWWaratahs
Brett Sheehan,@brett_sheehan,The Western Force,@thewesternforce
