,@manusamoa,,
Alafoti Fa'osiliva,,Bristol,@Bristol_RFC
Auvasa Faleali'i,, Auckland,
Census Johnston,@cenjohnston,Stade Toulousain,@StadeToulousain
Daniel Leo,,USA Perpignan,@usap_officiel
David Lemi (c),,Worcester Warriors,@WorcsWarriors
Faatiga Lemalu,, Mont-de-Marsan,@SMR_Rugby
Faatoina Autagavaia,, Northland,
Filo Paulo,, North Harbour,
George Pisi,@georgepisi,@SaintsRugby,@SaintsRugby
James Johnston,@JayVJohnston,@QuinsRugbyUnion,@QuinsRugbyUnion
James So'oialo,, Aix-en-Provence,
Jeremy Su'a,, Tasman,
Joe Tekori,,Castres,@CastresOlympiq
Johnny Leota,,Sale Sharks,@SaleSharksRugby
Kahn Fotuali'i,,Ospreys,@ospreys
Ki Anufe,, Marist Auckland,
Maurie Fa'asavalu,,Harlequins,@QuinsRugbyUnion
Ofisa Treviranus,,London Irish,@LiRFC
Ole Avei,,Bordeaux,@UBBrugby
Paul Perez,, Kings,
Paul Williams,,Stade Francais,@SFParisRugby
Rapeti Lafo,, Vaiusu,
Reupena Levasa,, Vailele, Vailele
Robert Lilomaiava,, Laulii,
Sakaria Taulafo,@S_Taulafo,London Wasps,@WaspsRugby
Taiasina Tuifu’a,,Newcastle Falcons,@FalconsRugby
Ti'i Paulo,,ASM Clermont Auvergne,@ASMOfficiel
Tivani Fomai,, Hawke's Bay,
Tusi Pisi,, Suntory Sungoliath,
Viliamu Afatia,,@agen_rugby,@agen_rugby
