,@AllBlacks,,
Aaron Cruden,@crudz10,The Chiefs,@ChiefsRugby
Aaron Smith,,The Highlanders,@HighlandersTeam
Adam Thomson,@adamjohnthomson ,The Highlanders,@HighlandersTeam
Ali Williams,@AliWilliams_ ,Auckland Blues,@BluesRugbyTeam
Andrew Hore,,The Highlanders,@HighlandersTeam
Andy Ellis,,Crusaders,@crusadersrugby
Anthony Boric,,Auckland Blues,@BluesRugbyTeam
Ben Franks,@franks_brothers ,Hurricanes,@Hurricanesrugby
Ben Smith,,The Highlanders,@HighlandersTeam
Brodie Retallick,@BrodieRetallick,The Chiefs,@ChiefsRugby
Charlie Faumuina,@BIGGrizzly3,Auckland Blues,@BluesRugbyTeam
Conrad Smith,,Hurricanes,@Hurricanesrugby
Corey Flynn,,Crusaders,@crusadersrugby
Cory Jane,@CoryJane1080 ,Hurricanes,@Hurricanesrugby
Dan Carter,@DanCarter,Crusaders,@crusadersrugby
Dane Coles,,Hurricanes,@Hurricanesrugby
Hosea Gear,,The Highlanders,@HighlandersTeam
Israel Dagg,@Israel_Dagg15 ,Crusaders,@crusadersrugby
Julian Savea,@juliansavea7,Hurricanes,@Hurricanesrugby
Keven Mealamu,,Auckland Blues,@BluesRugbyTeam
Kieran Read,,Crusaders,@crusadersrugby
Liam Messam,@LiamMessam,The Chiefs,@ChiefsRugby
Ma'a Nonu,@maavelous,Hurricanes,@Hurricanesrugby
Owen Franks,@franks_brothers ,Crusaders,@crusadersrugby
Piri Weepu,@PiriWeepu1049 ,Auckland Blues,@BluesRugbyTeam
Richard Kahui,,The Chiefs,@ChiefsRugby
Richie McCaw,,Crusaders,@crusadersrugby
Sam Cane,@samcane7,The Chiefs,@ChiefsRugby
Sam Whitelock,,Crusaders,@crusadersrugby
Tamati Ellison,@TamatiEllison,The Highlanders,@HighlandersTeam
Tawera Kerr-Barlow,,The Chiefs,@ChiefsRugby
Tony Woodcock,,The Highlanders,@HighlandersTeam
Victor Vito,,Hurricanes,@Hurricanesrugby
Wyatt Crockett,,Crusaders,@crusadersrugby
Zac Guildford,,Crusaders,@crusadersrugby
