,@bokrugby,,
Adriaan Strauss,,Cheetahs,@CheetahsRugby
Andries Bekker,,The Stormers,@THESTORMERS
Bismarck du Plessis ,@bismarckdp ,The Sharks, Sharks
Bjorn Basson,@Bjornbasson14,Blue Bulls,@BlueBullsRugby
Bryan Habana,@BryanHabana ,The Stormers,@THESTORMERS
Chiliboy Ralepelle,,Blue Bulls,@BlueBullsRugby
CJ van der Linde,,The Stormers,@THESTORMERS
Coenie Oosthuizen,,Cheetahs,@CheetahsRugby
Craig Burden,,The Sharks,Sharks
Dean Greyling,,Blue Bulls,@BlueBullsRugby
Eben Etzebeth,@EbenEtzebeth,The Stormers,@THESTORMERS
Fourie du Preez,,Blue Bulls,@BlueBullsRugby
Francois Hougaard,@Francoishougi ,Blue Bulls,@BlueBullsRugby
Francois Louw,@FloLouw ,Bath ,@bathrugby
François Steyn,,The Sharks, Sharks
Frans Malherbe,@fransmalherbe,The Stormers,@THESTORMERS
Gio Aplon,@1GioAplon ,The Stormers,@THESTORMERS
Gurthro Steenkam,@gurthro ,Blue Bulls,@BlueBullsRugby
Heinrich Brüssow,,Cheetahs,@CheetahsRugby
Jacques Potgieter ,@JacquePotgieter,Blue Bulls,@BlueBullsRugby
Jannie du Plessis,@JannieDup3,The Sharks, Sharks
Jaque Fourie,,The Stormers,@THESTORMERS
Jean de Villiers,,The Stormers,@THESTORMERS
JJ Engelbrecht,@JJ_Engelbrecht,Blue Bulls,@BlueBullsRugby
Johan Goosen,@johan_goosen,Cheetahs,@CheetahsRugby
JP Pietersen,@jppietersen14 ,The Sharks, Sharks
Juan DeJongh,@JuanDeJongh ,The Stormers,@THESTORMERS
Keegan Daniel,@KeeganDaniel,The Sharks, Sharks
Morne Steyn,@mornesteyn ,Blue Bulls,@BlueBullsRugby
Odwa Ndungane,@OdwaNdungane14 ,The Sharks, Sharks
Patrick Lambie,,The Sharks, Sharks
Patrick Lambie,,The Stormers,@THESTORMERS
Pierre Spies,@Pierrespies8 ,Blue Bulls,@BlueBullsRugby
Ruan Pienaar,,Ulster Rugby,@UlsterRugby
Schalk Brits,@SchalkBrits,Saracens,@Saracens
Schalk Burger,,The Stormers,@THESTORMERS
Siya Kolisi,,The Stormers,@THESTORMERS
Tendai Mtawarira,@Beast_Mtawarira,The Sharks, Sharks
Tiaan Liebenberg ,,The Stormers,@THESTORMERS
Werner Kruger,@kruger_werner,Blue Bulls,@BlueBullsRugby
Willem Alberts,,The Sharks, Sharks
