@scarlets_rugby,
@aled009,Aled Davies
@Gar_Davies9,Gareth Davies
@JonFoxDavies,Jonathan Davies
@george_earle,George Earle
@bigpete3,Peter Edwards
@AndrewFenby,Andrew Fenby
@JoelGalley,Joel Galley
@stripperhawkins,Craig Hawkins
@rhodri_jones3,Rhodri Jones
@r_kelly5,Richard Kelly
@deacon_manu,Deacon Manu
@GarethMaule,Gareth Maule
@robmccusker,Rob McCusker
@Kieran_Murphy8,Kieran Murphy
@kirby_myhill,Kirby Myhill
@dannewts10,Dan Newton
@George_North,George North
@xgaryowenx,Gareth Owen
@kenctsowens,Ken Owens
@EmyrPhillips2,Emyr Phillips
@KrisPhills,Kristian Phillips
@Rhys_Priestland,Rhys Priestland
@Richie_Pugh,Richie Pugh
@Matthew_Rees_2,Matthew Rees
@aaronshingler,Aaron Shingler
@MorganStoddart,Morgan Stoddart
@Daniel_thomas93,Daniel Thomas
@JoshTurn6ull,Josh Turnbull
@W10Jordan,Jordan Williams
@leewills14,Lee Williams
@SanjayWills,Liam Williams
@RhodriWillss09,Rhodri Williams
@ScottWilliams_1,Scott Williams
