,@RCTofficiel
Steffon Armitage,@Magicsteffo7
Delon Armitage,@delonarmitage
Bakkies Botha,@BakkiesBotha4
Virgile Bruni,@virgilebruni
Sebastien Bruno,@UHSSebBruno
Nicolas Durand,@durandnicolas82
Florian Fresia,@fresiaflo
Matt Giteau,@giteau_rugby
Pierrick Gunther,@PierrickGunther
Carl Hayman,@Carlhayman
Gethin Jenkins,@gethinjenkins1
Nick Kennedy,@NickKennedy4
Maxime Mermoz,@MaximeMermoz1
Freddie Michalak,@michalakfred
Alexis Palisson,@AlexisPalisson
Simon Shaw,@ShawseyShaw
David Smith,@Davidsm47711795
Sebastien Tillous Borde,@SebTillousBorde
Joe Van Niekerk,@bigjoevn
Jonny Wilkinson,@JonnyWilkinson
Orioli jeancharles,@Jc_orioli
Vincent Martin ,@VinsMartin
Thomas Sonetti,@SonettiThomas
Manchia Romain,@mankromain
